gameid,gamename,nratings,gamerank
13,Catan,85291,327
822,Carcassonne,85003,152
30549,Pandemic,83442,75
68448,7 Wonders,69094,45
36218,Dominion,68260,76
9209,Ticket to Ride,60532,142
31260,Agricola,57042,25
3076,Puerto Rico,56519,21
40692,Small World,53602,209
178900,Codenames,51169,60
2651,Power Grid,49995,36
70323,King of Tokyo,48583,261
14996,Ticket to Ride: Europe,47520,102
129622,Love Letter,47000,243
148228,Splendor,45209,131
478,Citadels,43766,355
39856,Dixit,41526,221
173346,7 Wonders Duel,40920,16
28143,Race for the Galaxy,40661,49
169786,Scythe,39899,8
167791,Terraforming Mars,39275,4
110327,Lords of Waterdeep,38676,54
34635,Stone Age,38294,86
84876,The Castles of Burgundy,36875,13
1927,Munchkin,36017,3742
65244,Forbidden Island,35387,639
12333,Twilight Struggle,34520,5
15987,Arkham Horror,34296,271
11,Bohnanza,33808,398
163412,Patchwork,33685,64
150376,Dead of Winter: A Crossroads Game,32892,78
120677,Terra Mystica,32698,11
98778,Hanabi,32105,315
50,Lost Cities,31962,310
41114,The Resistance,31833,207
161936,Pandemic Legacy: Season 1,31295,2
10547,Betrayal at House on the Hill,30486,460
37111,Battlestar Galactica: The Board Game,29867,66
131357,Coup,29276,437
147020,Star Realms,28496,91
230802,Azul,28437,38
54043,Jaipur,28116,116
70919,Takenoko,28048,238
463,Magic: The Gathering,27960,149
40834,Dominion: Intrigue,27120,62
121921,Robinson Crusoe: Adventures on the Cursed Island,26937,41
133473,Sushi Go!,26728,385
181,Risk,26243,16418
157354,Five Tribes,25802,57
170216,Blood Rage,25719,30
31481,Galaxy Trucker,25638,151
6249,Alhambra,25255,432
174430,Gloomhaven,25233,1
2655,Hive,25018,214
18602,Caylus,24693,50
126163,Tzolk'in: The Mayan Calendar,24554,37
124742,Android: Netrunner,24347,44
171,Chess,24339,431
103343,A Game of Thrones: The Board Game (Second Edition),24129,97
39463,Cosmic Encounter,24052,118
72125,Eclipse,24002,39
157969,Sheriff of Nottingham,23858,288
102794,Caverna: The Cave Farmers,23753,23
146021,Eldritch Horror,23734,58
1406,Monopoly,23596,17160
96848,Mage Knight Board Game,23589,24
15062,Shadows over Camelot,23532,351
181304,Mysterium,23454,191
3955,BANG!,23341,1135
42,Tigris & Euphrates,23149,72
35677,Le Havre,23126,40
320,Scrabble,23046,1628
10630,Memoir '44,22730,121
128882,The Resistance: Avalon,22628,99
132531,Roll for the Galaxy,21491,67
93,El Grande,21268,59
9220,Saboteur,21242,936
18,RoboRally,21233,372
143884,Machi Koro,21209,849
136063,Forbidden Desert,21057,302
103885,Star Wars: X-Wing Miniatures Game,20786,74
8217,San Juan,20763,249
122522,Smash Up,20609,706
124361,Concordia,20028,18
148949,Istanbul,20026,95
204583,Kingdomino,20012,198
16992,Tsuro,19985,847
2453,Blokus,19972,571
172,For Sale,19810,276
50381,Cards Against Humanity,19466,2966
100423,Elder Sign,19449,495
193738,Great Western Trail,19415,10
104162,Descent: Journeys in the Dark (Second Edition),19407,83
146508,T.I.M.E Stories,19064,70
123260,Suburbia,19010,106
158899,Colt Express,18989,335
155426,Castles of Mad King Ludwig,18878,94
153938,Camel Up,18787,416
77423,The Lord of the Rings: The Card Game,18180,111
100901,Flash Point: Fire Rescue,18079,283
,,,
183394,Viticulture Essential Edition,17782,19
116,Guillotine,17774,1068
194655,Santorini,17671,100
205637,Arkham Horror: The Card Game,17662,20
108745,Seasons,17606,176
8203,"Hey, That's My Fish!",17604,737
12942,No Thanks!,17603,413
154203,Imperial Settlers,17526,155
12,Ra,17502,147
104006,Village,17441,124
37046,Ghost Stories,17431,219
2653,Survive: Escape from Atlantis!,17332,254
201808,Clank!: A Deck-Building Adventure,17319,61
12493,Twilight Imperium (Third Edition),17233,56
27162,Kingsburg,17223,296
129437,Legendary: A Marvel Deck Building Game,17045,139
147949,One Night Ultimate Werewolf,17016,328
5,Acquire,16996,223
2223,UNO,16899,17063
25613,Through the Ages: A Story of Civilization,16891,35
107529,Kingdom Builder,16735,491
21790,Thurn and Taxis,16721,375
205059,Mansions of Madness: Second Edition,16719,27
187645,Star Wars: Rebellion,16708,6
164153,Star Wars: Imperial Assault,16658,34
74,Apples to Apples,16334,3755
123540,Tokaido,16159,474
54,Tikal,16156,222
164928,Orléans,15990,26
122515,Keyflower,15979,46
5782,Coloretto,15974,505
143741,BANG! The Dice Game,15935,503
182028,Through the Ages: A New Story of Civilization,15821,3
62219,Dominant Species,15749,51
176494,Isle of Skye: From Chieftain to King,15705,167
432,6 nimmt!,15518,613
171623,The Voyages of Marco Polo,15515,42
54998,Cyclades,15420,150
166384,Spyfall,15321,489
73439,Troyes,15160,69
,,,
28720,Brass: Lancashire,15098,22
37904,Formula D,15080,463
1294,Clue,15075,8101
24480,The Pillars of the Earth,15033,255
199561,Sagrada,14897,125
15512,Diamant,14717,652
161970,Alchemists,14710,88
,,,
62871,Zombie Dice,14429,1844
9674,Ingenious,14405,363
258,Fluxx,14347,7383
124708,Mice and Mystics,14342,250
,,,
118,Modern Art,14292,215
113924,Zombicide,14238,390
,,,
760,Battle Line,14118,197
555,The Princes of Florence,14057,138
113294,Escape: The Curse of the Temple,14030,462
28023,Jamaica,13915,443
172225,Exploding Kittens,13908,3589
192291,Sushi Go Party!,13804,160
2471,Zombies!!!,13647,5121
38453,Space Alert,13644,178
21763,Mr. Jack,13623,456
2511,Sherlock Holmes Consulting Detective: The Thames Murders & Other Cases,13562,68
25669,Qwirkle,13503,708
3,Samurai,13502,188
92828,Dixit: Odyssey,13447,184
9217,Saint Petersburg,13446,260
102652,Sentinels of the Multiverse,13320,313
77130,Sid Meier's Civilization: The Board Game,13274,203
,,,
43570,Friday,13254,340
188,Go,13234,137
127023,Kemet,13228,80
43111,Chaos in the Old World,13227,103
,,,
48726,Alien Frontiers,13156,185
823,Lord of the Rings,13140,771
29368,Last Night on Earth: The Zombie Game,13052,609
34219,Biblios,13014,321
63888,Innovation,12988,304
27588,Zooloretto,12967,660
198773,Codenames: Pictures,12705,253
43443,Castle Panic,12701,882
209685,Century: Spice Road,12688,225
102680,Trajan,12608,73
91536,Quarriors!,12500,748
438,Scotland Yard,12395,1153
144733,Russian Railroads,12188,71
278,Catan Card Game,12138,827
,,,
147151,Concept,12104,638
19857,Glory to Rome,12102,163
1917,Stratego,12085,2400
215,Tichu,12057,133
45315,Dungeon Lords,12034,206
171131,Captain Sonar,12021,113
160499,King of New York,11996,504
12692,Gloom,11985,1558
,,,
21241,Neuroshima Hex! 3.0,11968,230
20100,Wits & Wagers,11949,562
83330,Mansions of Madness,11948,300
20551,Shogun,11937,148
59959,Letters from Whitechapel,11814,211
503,Through the Desert,11804,447
163967,Tiny Epic Galaxies,11721,241
127398,Legends of Andor,11646,333
27627,Talisman (Revised 4th Edition),11537,1315
25292,Merchants & Marauders,11531,217
188834,Secret Hitler,11460,181
131835,Boss Monster: The Dungeon Building Card Game,11385,1727
177736,A Feast for Odin,11296,28
25554,Notre Dame,11281,240
156129,Deception: Murder in Hong Kong,11264,165
162886,Spirit Island,11250,15
71721,Space Hulk: Death Angel – The Card Game,11234,567
133038,Pathfinder Adventure Card Game: Rise of the Runelords – Base Set,11227,332
209010,Mechs vs. Minions,11196,32
45,Liar's Dice,11177,611
483,Diplomacy,11172,549
125618,Libertalia,11077,344
140620,Lewis & Clark,11054,159
119890,Agricola: All Creatures Big and Small,11028,212
97207,Dungeon Petz,11002,164
17226,Descent: Journeys in the Dark,10906,306
37380,Roll Through the Ages: The Bronze Age,10882,625
41,Can't Stop,10847,676
155703,Evolution,10828,369
205896,Rising Sun,10741,55
66188,Fresco,10607,274
34119,Tales of the Arabian Nights,10551,361
69789,Ascension: Deckbuilding Game,10527,551
9216,Goa,10481,128
811,Rummikub,10443,1601
17133,Railways of the World,10439,104
155362,Ca$h 'n Guns (Second Edition),10422,577
209778,Magic Maze,10359,367
2397,Backgammon,10301,1188
4390,Carcassonne: Hunters and Gatherers,10286,434
218603,Photosynthesis,10257,339
160477,Onitama,10173,205
43015,Hansa Teutonica,10143,122
172818,Above and Below,10137,192
126042,Nations,10064,110
46213,Telestrations,9981,231
161417,Red7,9929,591
171668,The Grizzled,9922,319
31627,Ticket to Ride: Nordic Countries,9896,130
92415,Skull,9871,397
2243,Yahtzee,9863,17046
115746,War of the Ring (Second Edition),9853,12
,,,
6472,A Game of Thrones (First Edition),9807,364
8098,Jungle Speed,9804,1190
175914,Food Chain Magnate,9777,29
31594,In the Year of the Dragon,9762,244
93260,Summoner Wars: Master Set,9749,173
699,HeroQuest,9706,565
176189,Zombicide: Black Plague,9656,135
98,Axis & Allies,9650,1283
53953,Thunderstone,9641,594
42215,Tobago,9528,430
156009,Port Royal,9517,421
22545,Age of Empires III: The Age of Discovery,9497,166
9609,War of the Ring (First Edition),9478,90
1198,SET,9475,1307
521,Crokinole,9456,79
2452,Jenga,9447,11108
150312,Welcome to the Dungeon,9433,915
90137,Blood Bowl: Team Manager – The Card Game,9430,266
220308,Gaia Project,9426,7
19237,Ca$h 'n Gun$,9382,994
63268,Spot it!,9335,959
,,,
146652,Legendary Encounters: An Alien Deck Building Game,9250,92
,,,
,,,
138161,Firefly: The Game,9118,295
216132,Clans of Caledonia,9071,43
118048,Targi,9062,141
180263,The 7th Continent,9050,17
,,,
1111,Taboo,8976,1749
27833,Steam,8926,134
25417,BattleLore,8925,287
244992,The Mind,8909,539
172287,Champions of Midgard,8904,93
136888,Bruges,8886,218
70149,Ora et Labora,8876,105
180974,Potion Explosion,8870,407
2921,The Game of Life,8844,17162
194594,Dice Forge,8818,312
170042,Raiders of the North Sea,8772,85
176396,Quadropolis,8723,284
20963,Fury of Dracula (Second Edition),8699,449
1219,Labyrinth,8692,1495
150,PitchCar,8690,343
33160,Endeavor,8689,235
97786,Small World Underground,8671,330
172386,Mombasa,8629,65
68425,Eminent Domain,8627,472
30869,Thebes,8558,429
,,,
25821,The Werewolves of Miller's Hollow,8538,846
191862,Imhotep,8513,366
155821,Inis,8498,108
182874,Grand Austria Hotel,8433,101
39683,At the Gates of Loyang,8385,262
128621,Viticulture,8365,140
63628,The Manhattan Project,8332,248
181279,Fury of Dracula (third/fourth edition),8325,190
21348,Ticket to Ride: Märklin,8318,264
91312,Discworld: Ankh-Morpork,8314,425
15363,Nexus Ops,8148,379
97842,Last Will,8125,371
198994,Hero Realms,8098,171
1115,Poker,8075,943
127060,Bora Bora,8068,169
5404,Amun-Re,8062,299
66362,Glen More,8052,282
197376,Charterstone,8046,158
224037,Codenames: Duet,8036,115
13823,Fairy Tale,8005,834
139030,Mascarade,7997,989
88,Torres,7975,444
27746,Colosseum,7966,383
27708,1960: The Making of the President,7963,168
150658,Pandemic: The Cure,7928,298
168435,Between Two Cities,7925,519
,,,
143693,Glass Road,7873,224
24181,Imperial,7854,161
59946,Dungeons & Dragons: Castle Ravenloft Board Game,7822,672
15818,Pickomino,7811,1156
133848,Euphoria: Build a Better Dystopia,7807,346
155068,Arcadia Quest,7806,109
73761,K2,7797,493
160851,Lanterns: The Harvest Festival,7772,634
155987,Abyss,7717,347
891,Cranium,7714,6851
12002,Jambo,7694,554
2987,Pirate's Cove,7625,1134
237182,Root,7612,53
327,Loopin' Louie,7565,765
117959,Las Vegas,7538,478
,,,
30380,Cuba,7518,446
27173,Vikings,7515,350
140,Pit,7487,1482
173,Formula Dé,7464,636
21523,Runebound (Second Edition),7460,766
112,Condottiere,7459,828
22345,Yspahan,7459,490
11170,Heroscape Master Set: Rise of the Valkyrie,7445,293
140934,Arboretum,7439,269
14105,Commands & Colors: Ancients,7438,107
266192,Wingspan,7424,47
4098,Age of Steam,7412,129
10,Elfenland,7409,873
36946,Red November,7389,1613
141572,Paperback,7361,359
24068,Shadow Hunters,7359,802
1234,Once Upon a Time: The Storytelling Card Game,7351,1417
13308,Niagara,7340,1216
915,Mystery of the Abbey,7326,1178
394,Kahuna,7304,980
2842,TransAmerica,7294,971
221107,Pandemic Legacy: Season 2,7283,31
66589,Navegador,7276,187
59294,Runewars,7262,175
2381,Scattergories,7255,2231
163968,Elysium,7251,352
51,Ricochet Robots,7243,620
185343,Anachrony,7212,48
176920,Mission: Red Planet (Second Edition),7195,216
21882,Blue Moon City,7188,553
2425,Battleship,7147,17150
826,Cartagena,7118,930
40398,Monopoly Deal Card Game,7108,1926
169426,Roll Player,7106,220
2398,Cribbage,7105,590
,,,
24508,Taluva,7030,442
47,Chinatown,7020,374
121408,Trains,7012,412
7717,Carcassonne: The Castle,6993,545
131260,Qwixx,6976,699
199042,Harry Potter: Hogwarts Battle,6938,275
7805,Fearsome Floors,6933,987
2952,Trivial Pursuit: Genus Edition,6908,17099
27225,Bananagrams,6894,1638
79828,A Few Acres of Snow,6884,277
137297,Rise of Augustus,6880,850
199478,Flamme Rouge,6861,213
125153,The Gallerist,6859,63
163602,XCOM: The Board Game,6858,563
1465,Wizard,6836,707
31730,Chicago Express,6826,391
138788,Dungeon Roll,6826,2206
101721,Mage Wars Arena,6823,186
233078,Twilight Imperium (Fourth Edition),6823,9
219513,Bärenpark,6808,305
13004,The Downfall of Pompeii,6794,481
146886,La Granja,6763,132
105134,Risk Legacy,6750,272
169654,Deep Sea Adventure,6736,555
105,Colossal Arena,6722,841
71,Civilization,6718,251
16986,Ubongo,6713,917
183251,Karuba,6703,409
206718,Ethnos,6698,226
22827,StarCraft: The Board Game,6686,376
97903,Terror in Meeple City,6668,705
475,Taj Mahal,6666,354
183840,Oh My Goods!,6646,619
131366,Eight-Minute Empire,6637,1069
46,Medici,6607,475
590,Mille Bornes,6582,6842
72287,Mr. Jack Pocket,6573,675
194607,Mystic Vale,6545,378
85256,Timeline: Inventions,6517,935
105551,Archipelago,6476,316
220,High Society,6455,674
55670,Macao,6454,270
171499,Cacao,6437,518
91514,Rhino Hero,6398,665
7854,YINSH,6396,156
173090,The Game,6396,931
54625,Space Hulk (third edition),6382,257
90419,Airlines Europe,6355,338
39938,Carson City,6341,381
1829,Risk 2210 A.D.,6316,1140
36932,Claustrophobia,6306,237
144344,Rococo,6304,204
40628,Finca,6296,570
1258,Phase 10,6261,17121
169124,Flick 'em Up!,6261,610
3201,Lord of the Rings: The Confrontation,6230,450
172308,Broom Service,6226,433
221194,Dinosaur Island,6208,114
929,The Great Dalmuti,6195,1240
172081,Burgle Bros.,6193,199
128671,Spartacus: A Game of Blood & Treachery,6191,309
,,,
8051,Attika,6168,635
24310,The Red Dragon Inn,6166,1287
162082,Deus,6165,331
1293,Boggle,6162,2097
148951,Tiny Epic Kingdoms,6152,1097
198928,Pandemic: Iberia,6151,81
110277,Among the Stars,6145,488
2083,Checkers,6136,17138
40793,Dice Town,6132,776
11971,Cockroach Poker,6127,1094
2389,Othello,6112,2562
2281,Pictionary,6107,4197
175117,Celestia,6099,623
158600,Hanamikoji,6087,233
,,,
,,,
175155,Forbidden Stars,6069,84
122298,Morels,6040,640
236457,Architects of the West Kingdom,6030,96
96913,Lancaster,6026,278
257,Kill Doctor Lucky,6024,2235
22141,Cleopatra and the Society of Architects,6005,842
233867,Welcome To...,5986,183
65781,London (first edition),5978,308
156336,Onirim (second edition),5978,522
17329,Animal Upon Animal,5977,793
196340,Yokohama,5976,89
134726,Smash Up: Awesome Level 9000,5969,426
,,,
,,,
192153,Pandemic: Reign of Cthulhu,5917,325
203420,Exit: The Game – The Abandoned Cabin,5908,180
2375,Sequence,5902,3188
55690,Kingdom Death: Monster,5891,33
172242,Exploding Kittens: NSFW Deck,5849,2498
15364,Vegas Showdown,5834,464
,,,
159675,Fields of Arle,5789,52
58281,Summoner Wars,5780,420
193037,Dead of Winter: The Long Night,5754,182
244522,That's Pretty Clever,5754,195
372,Schotten Totten,5739,377
224517,Brass: Birmingham,5727,14
2093,Mahjong,5726,671
1345,Genoa,5725,579
257501,KeyForge: Call of the Archons,5714,234
176229,Tides of Time,5708,946
143519,Quantum,5688,403
39953,A Game of Thrones: The Card Game,5686,808
29387,Zombie Fluxx,5680,3015
2719,Connect Four,5661,17137
177639,Raptor,5653,322
20437,Lords of Vegas,5647,373
203993,Lorenzo il Magnifico,5641,112
194879,Not Alone,5601,614
10093,Axis & Allies,5590,1172
44163,Power Grid: Factory Manager,5580,770
50750,Belfort,5572,415
38054,Snow Tails,5570,653
177524,ICECOOL,5547,796
526,Abalone,5544,1499
12995,Dungeon Twister,5532,851
159508,AquaSphere,5526,393
82222,Xia: Legends of a Drift System,5512,144
,,,
30539,Get Bit!,5471,2067
171273,FUSE,5467,585
83195,Ghost Blitz,5466,963
770,Loot,5463,1759
47185,Warhammer: Invasion,5452,509
,,,
140933,Blueprints,5400,792
5716,Balloon Cup,5395,1001
204027,Cottage Garden,5350,686
624,Quoridor,5348,1082
,,,
217372,The Quest for El Dorado,5336,258
49,Mamma Mia!,5335,1390
,,,
137269,Spyrium,5322,556
,,,
125678,DC Comics Deck-Building Game,5314,719
66356,Dungeons & Dragons: Wrath of Ashardalon Board Game,5297,607
,,,
42452,Rattus,5291,855
9446,Blue Moon,5281,984
191189,Aeon's End,5258,87
148575,Marvel Dice Masters: Avengers vs. X-Men,5255,502
,,,
559,Metro,5237,1589
3699,Killer Bunnies and the Quest for the Magic Carrot,5209,16931
155695,Age of War,5202,1571
13642,Louis XIV,5191,600
2392,Mastermind,5188,15721
18833,Lord of the Rings: The Confrontation,5182,290
146278,Tash-Kalar: Arena of Legends,5181,497
2448,Kalah,5176,3601
220877,Rajas of the Ganges,5169,193
,,,
179275,One Deck Dungeon,5154,543
143986,CV,5153,1022
33604,Say Anything,5138,914
200147,Kanagawa,5127,564
2394,Dominoes,5114,16788
188920,This War of Mine: The Board Game,5107,145
121,Dune,5105,247
102548,Dungeon Fighter,5104,862
39351,Automobile,5103,370
233371,Clank! In! Space!,5100,123
15817,Manila,5072,683
34585,Keltis,5062,1494
54138,Imperial 2030,5058,189
,,,
56692,Parade,5051,718
242,Junta,5048,1081
815,Chrononauts,5034,2148
121410,Steam Park,5033,749
,,,
,,,
71836,Onirim,5023,1029
2407,Sorry!,5010,17154
65532,Defenders of the Realm,5001,435
17223,World of Warcraft: The Boardgame,4989,1256
712,Blood Bowl (Third Edition),4967,297
91872,Dungeons & Dragons: The Legend of Drizzt Board Game,4952,521
244521,The Quacks of Quedlinburg,4952,245
103886,Star Wars: The Card Game,4917,526
225694,Decrypto,4913,157
554,La Città,4907,644
137408,Amerigo,4899,303
232043,Queendomino,4897,405
127024,Room 25,4894,933
21050,Combat Commander: Europe,4889,120
10640,Doom: The Boardgame,4883,910
124172,Tsuro of the Seas,4877,1278
229853,Teotihuacan: City of Gods,4867,98
146439,BattleLore (Second Edition),4863,174
195421,Near and Far,4863,119
155624,Specter Ops,4859,452
1269,Skip-Bo,4858,16968
66056,Rivals for Catan,4858,709
,,,
681,Quarto,4830,869
192457,Cry Havoc,4828,451
58421,Egizia,4811,318
,,,
12962,Reef Encounter,4801,560
714,Talisman,4791,1948
1,Die Macher,4789,228
8989,Hansa,4787,791
200680,Agricola (Revised Edition),4786,82
163068,Trickerion: Legends of Illusion,4777,153
904,Dream Factory,4776,633
239188,Chronicles of Crime,4760,127
162007,Steampunk Rally,4758,470
163,Balderdash,4741,1612
1897,Starfarers of Catan,4732,929
180593,The Bloody Inn,4730,735
40765,Clash of Cultures,4724,242
112686,Epic Spell Wars of the Battle Wizards: Duel at Mt. Skullzfyre,4722,1421
9440,Maharaja: The Game of Palace Building in India,4709,575
120,Hoity Toity,4699,1340
4636,Clans,4659,1265
27364,Caylus Magna Carta,4655,751
1382,Winner's Circle,4644,720
191977,The Castles of Burgundy: The Card Game,4644,622
8125,Santiago,4623,595
221,Ikusa,4619,752
